week_end,race_eth,n_onedose,n_bivalent,n_2023,coverage_onedose,coverage_bivalent,coverage_2023
2022-06-18,Hispanic/Latino,339201,0,0,64.8,0,0
2022-06-18,Non-Hispanic Asian,164060,0,0,87.1,0,0
2022-06-18,Non-Hispanic Black,239581,0,0,64.8,0,0
2022-06-18,Non-Hispanic Other,195195,0,0,>90,0,0
2022-06-18,Non-Hispanic White,893926,0,0,78.4,0,0
2022-06-25,Hispanic/Latino,339613,0,0,64.9,0,0
2022-06-25,Non-Hispanic Asian,164317,0,0,87.2,0,0
2022-06-25,Non-Hispanic Black,239890,0,0,64.9,0,0
2022-06-25,Non-Hispanic Other,195359,0,0,>90,0,0
2022-06-25,Non-Hispanic White,895211,0,0,78.5,0,0
2022-07-02,Hispanic/Latino,340068,0,0,65,0,0
2022-07-02,Non-Hispanic Asian,164652,0,0,87.4,0,0
2022-07-02,Non-Hispanic Black,240235,0,0,65,0,0
2022-07-02,Non-Hispanic Other,195575,0,0,>90,0,0
2022-07-02,Non-Hispanic White,897003,0,0,78.6,0,0
2022-07-09,Hispanic/Latino,340578,0,0,65.1,0,0
2022-07-09,Non-Hispanic Asian,164948,0,0,87.6,0,0
2022-07-09,Non-Hispanic Black,240622,0,0,65.1,0,0
2022-07-09,Non-Hispanic Other,195775,0,0,>90,0,0
2022-07-09,Non-Hispanic White,898228,0,0,78.7,0,0
2022-07-16,Hispanic/Latino,341180,0,0,65.2,0,0
2022-07-16,Non-Hispanic Asian,165256,0,0,87.7,0,0
2022-07-16,Non-Hispanic Black,241099,0,0,65.3,0,0
2022-07-16,Non-Hispanic Other,195993,0,0,>90,0,0
2022-07-16,Non-Hispanic White,899557,0,0,78.8,0,0
2022-07-23,Hispanic/Latino,341746,0,0,65.3,0,0
2022-07-23,Non-Hispanic Asian,165587,0,0,87.9,0,0
2022-07-23,Non-Hispanic Black,241499,0,0,65.4,0,0
2022-07-23,Non-Hispanic Other,196184,0,0,>90,0,0
2022-07-23,Non-Hispanic White,901010,0,0,79,0,0
